                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     69,                 2.6408,                  1.448,                 1.0895,                0.46799,                0.01869,                 0.0149,                0.00506,                    nan,                    nan,                    nan,              0.0086536,              0.0086536,              0.0086536
                     70,                 2.6502,                 1.4083,                 1.1054,                0.01113,                0.06542,                0.05687,                0.01186,                    nan,                    nan,                    nan,              0.0086338,              0.0086338,              0.0086338
                     71,                 2.6651,                 1.5519,                 1.0475,                0.38403,                0.02804,                0.02947,                0.00895,                    nan,                    nan,                    nan,               0.008614,               0.008614,               0.008614
                     72,                  2.664,                 1.4817,                 1.0195,                0.47269,                0.05607,                0.04881,                0.01161,                    nan,                    nan,                    nan,              0.0085942,              0.0085942,              0.0085942
                     73,                  2.573,                 1.4891,                 1.1566,                0.79684,                0.05607,                0.05585,                 0.0156,                    nan,                    nan,                    nan,              0.0085744,              0.0085744,              0.0085744
                     74,                 2.3143,                   1.29,                 1.0351,                0.65711,                0.04673,                0.04753,                0.01481,                    nan,                    nan,                    nan,              0.0085546,              0.0085546,              0.0085546
                     75,                 2.4517,                 1.3102,                 1.0358,                0.34349,                0.05607,                0.05058,                0.01729,                    nan,                    nan,                    nan,              0.0085348,              0.0085348,              0.0085348
                     76,                 2.4608,                 1.2571,                0.98667,                0.31838,                0.05607,                0.04843,                 0.0175,                    nan,                    nan,                    nan,               0.008515,               0.008515,               0.008515
                     77,                 2.3691,                 1.3134,                 1.0388,                0.26132,                0.06542,                0.05343,                0.01704,                    nan,                    nan,                    nan,              0.0084952,              0.0084952,              0.0084952
                     78,                 2.5516,                 1.4961,                 1.0085,                0.29654,                0.04673,                0.04022,                0.01078,                    nan,                    nan,                    nan,              0.0084754,              0.0084754,              0.0084754
                     79,                  2.526,                 1.3448,                 1.0134,                0.57252,                0.04673,                0.04658,                0.00881,                    nan,                    nan,                    nan,              0.0084556,              0.0084556,              0.0084556
                     80,                 2.6641,                 1.3494,                 1.1024,                0.45054,                0.02804,                0.03756,                 0.0119,                    nan,                    nan,                    nan,              0.0084358,              0.0084358,              0.0084358
                     81,                 2.6987,                 1.4649,                 1.0649,                0.27678,                0.04673,                0.04474,                0.00908,                    nan,                    nan,                    nan,               0.008416,               0.008416,               0.008416
                     82,                 2.2837,                 1.1319,                 1.0506,                0.58593,                0.03738,                0.07529,                0.01318,                    nan,                    nan,                    nan,              0.0083962,              0.0083962,              0.0083962
                     83,                 2.4358,                 1.1808,                0.99327,                0.22427,                0.02804,                0.02912,                0.01047,                    nan,                    nan,                    nan,              0.0083764,              0.0083764,              0.0083764
                     84,                 2.5888,                 1.2713,                 1.0546,                0.30499,                0.05607,                0.03602,                0.01039,                    nan,                    nan,                    nan,              0.0083566,              0.0083566,              0.0083566
                     85,                 2.6526,                 1.3595,                 1.0663,                0.19809,                0.04673,                0.02564,                0.00409,                    nan,                    nan,                    nan,              0.0083368,              0.0083368,              0.0083368
                     86,                 2.5565,                 1.1449,                 1.0309,                0.13672,                0.03738,                0.01687,                0.00386,                    nan,                    nan,                    nan,               0.008317,               0.008317,               0.008317
                     87,                 2.5047,                  1.299,                 1.0048,                0.15585,                0.07477,                0.05148,                0.01174,                    nan,                    nan,                    nan,              0.0082972,              0.0082972,              0.0082972
                     88,                 2.4018,                 1.1123,                 1.0499,                 0.2098,                0.02804,                0.03276,                0.00891,                    nan,                    nan,                    nan,              0.0082774,              0.0082774,              0.0082774
                     89,                   2.43,                 1.2086,                 1.0279,                0.27801,                0.02804,                0.04075,                0.00744,                    nan,                    nan,                    nan,              0.0082576,              0.0082576,              0.0082576
                     90,                   2.36,                 1.2238,                 1.0053,                0.51562,                0.02804,                 0.0419,                0.01329,                    nan,                    nan,                    nan,              0.0082378,              0.0082378,              0.0082378
                     91,                 2.2794,                 1.1811,                 1.0197,                0.49144,                0.04673,                0.07016,                0.01775,                    nan,                    nan,                    nan,               0.008218,               0.008218,               0.008218
                     92,                 2.4502,                 1.3126,                 1.0302,                0.54368,                0.04473,                0.05389,                0.01907,                    nan,                    nan,                    nan,              0.0081982,              0.0081982,              0.0081982
                     93,                 2.4487,                 1.2919,                 1.0337,                0.47357,                0.04673,                0.05403,                0.02037,                    nan,                    nan,                    nan,              0.0081784,              0.0081784,              0.0081784
                     94,                 2.3861,                 1.1899,                 1.0055,                0.74488,                0.05607,                0.07026,                0.01702,                    nan,                    nan,                    nan,              0.0081586,              0.0081586,              0.0081586
                     95,                 2.3803,                 1.1424,                 1.0142,                0.55747,                0.05607,                0.06847,                0.01997,                    nan,                    nan,                    nan,              0.0081388,              0.0081388,              0.0081388
                     96,                 2.4518,                  1.245,                0.96112,                0.75816,                0.05607,                0.07376,                0.02478,                    nan,                    nan,                    nan,               0.008119,               0.008119,               0.008119
                     97,                 2.2321,                 1.2239,                0.99262,                0.61156,                0.05607,                0.07677,                0.01956,                    nan,                    nan,                    nan,              0.0080992,              0.0080992,              0.0080992
                     98,                 2.4528,                 1.2618,                 1.0708,                0.68728,                0.05607,                0.06179,                0.01536,                    nan,                    nan,                    nan,              0.0080794,              0.0080794,              0.0080794
                     99,                 2.4874,                 1.3197,                0.95536,                0.42405,                0.04673,                0.05498,                0.01249,                    nan,                    nan,                    nan,              0.0080596,              0.0080596,              0.0080596
                    100,                 2.5836,                  1.255,                0.99093,                0.60453,                0.04673,                0.04543,                0.01175,                    nan,                    nan,                    nan,              0.0080398,              0.0080398,              0.0080398
                    101,                 2.1932,                 1.1196,                 1.0116,                0.68604,                0.03738,                0.04258,                0.01085,                    nan,                    nan,                    nan,                0.00802,                0.00802,                0.00802
                    102,                  2.209,                 1.1146,                 1.0138,                0.63978,                0.07477,                0.07467,                0.01602,                    nan,                    nan,                    nan,              0.0080002,              0.0080002,              0.0080002
