                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     70,                  2.093,                 1.1113,                 1.0007,                0.80473,                0.05607,                0.09146,                0.02963,                    nan,                    nan,                    nan,               0.003169,               0.003169,               0.003169
                     71,                 2.1171,                 1.1784,                0.97277,                 0.8647,                0.06003,                0.10334,                0.03627,                    nan,                    nan,                    nan,                0.00307,                0.00307,                0.00307
                     72,                 2.3408,                 1.2464,                0.94969,                 0.6305,                0.04673,                0.06968,                 0.0318,                    nan,                    nan,                    nan,               0.002971,               0.002971,               0.002971
                     73,                 2.0382,                 1.1882,                 1.0493,                0.72934,                0.06542,                0.09654,                 0.0394,                    nan,                    nan,                    nan,               0.002872,               0.002872,               0.002872
                     74,                 1.9906,                 1.0983,                0.95815,                0.56135,                0.04673,                0.07923,                0.03209,                    nan,                    nan,                    nan,               0.002773,               0.002773,               0.002773
                     75,                 2.1685,                 1.1495,                0.97732,                 0.5484,                0.04673,                0.07318,                0.03157,                    nan,                    nan,                    nan,               0.002674,               0.002674,               0.002674
                     76,                  2.089,                 1.1336,                0.93502,                0.48861,                0.05607,                0.08003,                0.02992,                    nan,                    nan,                    nan,               0.002575,               0.002575,               0.002575
                     77,                 2.0775,                 1.2068,                0.97336,                0.72046,                0.06542,                0.09285,                0.03199,                    nan,                    nan,                    nan,               0.002476,               0.002476,               0.002476
                     78,                 2.1944,                 1.1933,                0.94657,                0.69238,                0.06542,                0.08513,                0.03987,                    nan,                    nan,                    nan,               0.002377,               0.002377,               0.002377
                     79,                 1.9998,                 1.0539,                0.93973,                0.61688,                0.06542,                0.09078,                0.04004,                    nan,                    nan,                    nan,               0.002278,               0.002278,               0.002278
                     80,                 2.0567,                 1.1495,                 1.0209,                0.64225,                0.06724,                0.09049,                0.03906,                    nan,                    nan,                    nan,               0.002179,               0.002179,               0.002179
                     81,                 1.9849,                 1.1839,                0.99352,                0.57934,                0.06444,                0.09261,                0.04259,                    nan,                    nan,                    nan,                0.00208,                0.00208,                0.00208
                     82,                 1.8792,                 1.0249,                0.95075,                 0.7081,                 0.0682,                0.09989,                  0.047,                    nan,                    nan,                    nan,               0.001981,               0.001981,               0.001981
                     83,                 1.9697,                0.98433,                0.91339,                0.96752,                0.06542,                0.10353,                0.04298,                    nan,                    nan,                    nan,               0.001882,               0.001882,               0.001882
                     84,                 2.0109,                 1.0618,                0.96383,                0.98566,                0.07477,                0.10223,                0.03495,                    nan,                    nan,                    nan,               0.001783,               0.001783,               0.001783
                     85,                 2.2121,                 1.1947,                0.95606,                0.93079,                0.07477,                0.09996,                0.04231,                    nan,                    nan,                    nan,               0.001684,               0.001684,               0.001684
                     86,                 1.9509,                 0.9473,                0.92302,                 0.8236,                0.07477,                 0.0983,                0.04224,                    nan,                    nan,                    nan,               0.001585,               0.001585,               0.001585
                     87,                  1.958,                 1.0545,                0.92809,                0.74931,                0.07477,                0.09854,                0.03306,                    nan,                    nan,                    nan,               0.001486,               0.001486,               0.001486
                     88,                 1.9225,                0.99429,                0.93772,                0.75917,                0.07477,                0.09903,                0.03858,                    nan,                    nan,                    nan,               0.001387,               0.001387,               0.001387
                     89,                 1.9313,                0.97574,                 0.9323,                0.73904,                0.07477,                0.10667,                0.03503,                    nan,                    nan,                    nan,               0.001288,               0.001288,               0.001288
                     90,                 1.9451,                 1.0801,                0.92641,                0.81097,                0.07477,                0.09347,                0.02828,                    nan,                    nan,                    nan,               0.001189,               0.001189,               0.001189
                     91,                 1.8458,                 1.0361,                0.94394,                0.67612,                0.07477,                0.09163,                0.03521,                    nan,                    nan,                    nan,                0.00109,                0.00109,                0.00109
                     92,                 2.0006,                 1.0736,                0.97147,                0.77365,                0.07477,                0.10134,                0.03554,                    nan,                    nan,                    nan,               0.000991,               0.000991,               0.000991
                     93,                 1.9066,                0.95509,                0.95704,                0.68606,                0.07477,                0.08696,                0.03238,                    nan,                    nan,                    nan,               0.000892,               0.000892,               0.000892
                     94,                 1.7344,                0.94399,                0.91432,                0.69814,                0.07477,                0.09064,                0.03698,                    nan,                    nan,                    nan,               0.000793,               0.000793,               0.000793
                     95,                 1.8458,                0.98172,                 0.9498,                0.75807,                0.07477,                0.09566,                0.03683,                    nan,                    nan,                    nan,               0.000694,               0.000694,               0.000694
                     96,                 1.9346,                 1.0649,                0.89872,                0.78776,                0.07477,                0.09226,                0.03653,                    nan,                    nan,                    nan,               0.000595,               0.000595,               0.000595
                     97,                 1.9241,                 1.0474,                0.93161,                  0.795,                0.07266,                0.09374,                0.03774,                    nan,                    nan,                    nan,               0.000496,               0.000496,               0.000496
                     98,                  1.806,                0.97843,                0.97185,                0.87782,                0.06732,                0.09545,                0.03832,                    nan,                    nan,                    nan,               0.000397,               0.000397,               0.000397
                     99,                 1.9362,                0.99668,                0.88727,                0.87725,                0.06693,                0.09675,                  0.038,                    nan,                    nan,                    nan,               0.000298,               0.000298,               0.000298
