               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 150,            0.025756,           0.0052195,                   0,             0.99839,                   1,               0.995,             0.66997,            0.020645,           0.0030435,                   0,           0.0070498,           0.0070498,           0.0070498
                 151,            0.024857,           0.0048853,                   0,             0.99714,                   1,               0.995,              0.7774,            0.017987,           0.0029721,                   0,             0.00703,             0.00703,             0.00703
                 152,            0.025233,           0.0047439,                   0,             0.99799,                   1,               0.995,              0.7478,             0.02247,           0.0029433,                   0,           0.0070102,           0.0070102,           0.0070102
                 153,            0.027718,           0.0047671,                   0,             0.99838,                   1,               0.995,             0.78751,            0.018007,           0.0030187,                   0,           0.0069904,           0.0069904,           0.0069904
                 154,            0.024511,            0.004627,                   0,              0.9989,                   1,               0.995,              0.7289,            0.021241,           0.0031027,                   0,           0.0069706,           0.0069706,           0.0069706
                 155,            0.023591,           0.0048194,                   0,             0.99913,                   1,               0.995,             0.77118,             0.01827,           0.0030727,                   0,           0.0069508,           0.0069508,           0.0069508
                 156,             0.02512,           0.0047837,                   0,             0.99909,                   1,               0.995,             0.70321,            0.019972,           0.0031641,                   0,            0.006931,            0.006931,            0.006931
                 157,            0.025584,           0.0041577,                   0,             0.99907,                   1,               0.995,             0.74985,            0.021913,           0.0030459,                   0,           0.0069112,           0.0069112,           0.0069112
                 158,            0.025255,           0.0046647,                   0,             0.99909,                   1,               0.995,             0.74363,            0.017926,           0.0030856,                   0,           0.0068914,           0.0068914,           0.0068914
                 159,            0.023638,           0.0049363,                   0,             0.99922,                   1,               0.995,             0.71437,            0.018577,           0.0030871,                   0,           0.0068716,           0.0068716,           0.0068716
                 160,            0.024858,           0.0044191,                   0,             0.99921,                   1,               0.995,              0.7668,            0.017111,           0.0029973,                   0,           0.0068518,           0.0068518,           0.0068518
                 161,            0.026775,            0.005341,                   0,             0.99909,                   1,               0.995,             0.62373,            0.021431,           0.0031466,                   0,            0.006832,            0.006832,            0.006832
                 162,            0.023562,           0.0041714,                   0,             0.99914,                   1,               0.995,             0.71307,            0.019143,           0.0030393,                   0,           0.0068122,           0.0068122,           0.0068122
                 163,            0.022363,            0.004437,                   0,             0.99904,                   1,               0.995,             0.74778,            0.022677,           0.0030968,                   0,           0.0067924,           0.0067924,           0.0067924
                 164,            0.025784,           0.0049811,                   0,              0.9991,                   1,               0.995,             0.77366,            0.016432,           0.0029405,                   0,           0.0067726,           0.0067726,           0.0067726
                 165,            0.025973,           0.0048178,                   0,             0.99833,                   1,               0.995,             0.69934,            0.022859,           0.0029814,                   0,           0.0067528,           0.0067528,           0.0067528
                 166,            0.022938,           0.0043711,                   0,             0.99901,                   1,               0.995,             0.76627,            0.017289,           0.0028263,                   0,            0.006733,            0.006733,            0.006733
