                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     84,                 2.2806,                  1.173,                0.96529,                0.61655,                0.75701,                 0.6671,                0.25515,                 2.3484,                 1.1556,                0.98157,              0.0083566,              0.0083566,              0.0083566
                     85,                 2.3127,                 1.0098,                 1.0105,                0.71167,                0.68224,                0.73293,                0.26345,                 2.4369,                 1.2099,                0.98511,              0.0083368,              0.0083368,              0.0083368
                     86,                 2.3459,                 1.2549,                0.96406,                0.68925,                0.64261,                0.65345,                0.19958,                 2.7085,                 1.4759,                 1.0814,               0.008317,               0.008317,               0.008317
                     87,                 2.5383,                 1.1169,                 1.0246,                0.65007,                0.57297,                0.58102,                0.20237,                 2.4558,                 1.6608,                 1.0434,              0.0082972,              0.0082972,              0.0082972
                     88,                 2.3406,                 1.2982,                 1.0525,                0.53252,                0.43925,                0.47433,                0.14392,                 2.8743,                 2.0487,                 1.0597,              0.0082774,              0.0082774,              0.0082774
                     89,                 2.4559,                 1.2381,                  1.056,                0.59322,                0.41121,                0.45079,                0.16221,                 2.4958,                 2.1176,                   1.06,              0.0082576,              0.0082576,              0.0082576
                     90,                 2.5202,                  1.304,                 1.1064,                0.64045,                0.69918,                0.68781,                 0.2846,                  2.254,                 1.2923,                 1.0177,              0.0082378,              0.0082378,              0.0082378
                     91,                 2.2887,                 1.0882,                 1.0636,                0.61701,                0.74766,                0.71321,                0.24563,                 2.4413,                 1.3086,                 1.0452,               0.008218,               0.008218,               0.008218
                     92,                 2.3555,                  1.197,                 1.0279,                0.68553,                0.73832,                0.72063,                0.27645,                 2.3011,                  1.109,                 1.0058,              0.0081982,              0.0081982,              0.0081982
                     93,                 2.2085,                 1.0464,                 1.0303,                0.85957,                0.74766,                0.85266,                0.32807,                 2.2738,                 1.4349,                 1.0206,              0.0081784,              0.0081784,              0.0081784
                     94,                 2.2391,                 1.0389,                 1.0278,                0.69564,                0.42725,                 0.4546,                 0.0911,                 3.3583,                 9.8917,                 1.1569,              0.0081586,              0.0081586,              0.0081586
                     95,                 2.5442,                 1.2526,                 1.0419,                0.90865,                0.68224,                 0.7994,                0.30575,                 2.2192,                 1.2401,                0.94984,              0.0081388,              0.0081388,              0.0081388
                     96,                 2.3362,                 1.0784,                0.98286,                0.81403,                0.73636,                 0.8306,                0.31679,                 2.2716,                 1.1684,                 0.9482,               0.008119,               0.008119,               0.008119
                     97,                  2.403,                 1.0917,                0.99308,                0.66854,                0.71028,                0.68625,                0.30853,                 2.1171,                 1.1958,                0.95933,              0.0080992,              0.0080992,              0.0080992
                     98,                 2.2815,                  1.097,                 1.0492,                0.67439,                0.68224,                0.63585,                0.21621,                 2.5463,                 1.2311,                 1.0013,              0.0080794,              0.0080794,              0.0080794
                     99,                 2.4236,                0.98519,                 1.0079,                0.57973,                0.65749,                0.62626,                0.24388,                 2.1793,                 1.1879,                0.98249,              0.0080596,              0.0080596,              0.0080596
                    100,                 2.2842,                 1.1987,                0.97294,                0.67328,                0.63551,                0.63739,                0.25217,                 2.3332,                 1.2363,                 1.0013,              0.0080398,              0.0080398,              0.0080398
                    101,                 2.2481,                 1.1781,                 0.9859,                0.61784,                0.69504,                0.62532,                0.24381,                 2.0648,                 1.1362,                0.94661,                0.00802,                0.00802,                0.00802
                    102,                 2.2468,                 1.0636,                0.89564,                0.66043,                0.69159,                0.70159,                0.24548,                 2.1995,                 1.0854,                0.94488,              0.0080002,              0.0080002,              0.0080002
                    103,                 2.2065,                 1.0416,                0.98999,                0.70449,                0.63551,                0.72489,                0.23124,                 2.2248,                 1.1495,                0.94257,              0.0079804,              0.0079804,              0.0079804
                    104,                 2.2576,                 1.0783,                0.94173,                0.68301,                0.60748,                  0.668,                0.26984,                 2.0254,                 1.0125,                0.95165,              0.0079606,              0.0079606,              0.0079606
                    105,                 2.2507,                 1.2058,                0.99888,                0.78455,                 0.7147,                0.76675,                0.27269,                 2.2777,                 1.1327,                0.94719,              0.0079408,              0.0079408,              0.0079408
                    106,                 2.2927,                 1.0604,                0.99956,                0.65699,                0.73396,                0.75525,                0.32566,                 1.9225,                 1.0659,                0.93685,               0.007921,               0.007921,               0.007921
                    107,                 2.1932,                 1.0203,                 1.0156,                0.63182,                0.60946,                0.66532,                0.23111,                 2.4349,                 1.3679,                  1.055,              0.0079012,              0.0079012,              0.0079012
                    108,                  2.218,                 1.1023,                0.94958,                0.61048,                0.62617,                0.61686,                0.22969,                 2.5268,                 1.9306,                 1.0436,              0.0078814,              0.0078814,              0.0078814
                    109,                 2.0985,                 1.0789,                0.94585,                0.71519,                0.61019,                0.70885,                0.25659,                 2.5223,                 1.6223,                  1.017,              0.0078616,              0.0078616,              0.0078616
                    110,                 2.3799,                 1.1719,                0.96625,                0.57158,                0.64486,                0.57097,                0.21209,                 2.2407,                 1.2872,                 1.0222,              0.0078418,              0.0078418,              0.0078418
                    111,                 2.2946,                  1.169,                0.98675,                0.75206,                0.79376,                0.72878,                0.25848,                 2.3357,                 1.0951,                0.94175,               0.007822,               0.007822,               0.007822
                    112,                 2.1837,                 1.1058,                0.93613,                0.65421,                0.76636,                0.72205,                0.31679,                 1.9306,                 1.0279,                0.94783,              0.0078022,              0.0078022,              0.0078022
                    113,                 1.9823,                 1.0109,                0.94502,                0.69531,                0.78914,                0.76451,                0.33275,                 1.9532,                 1.0229,                0.94562,              0.0077824,              0.0077824,              0.0077824
